Main Value,County,State
16.61,NEVADA,California
25.09,ORANGE,California
20.76,PLACER,California
15.79,PLUMAS,California
25.62,RIVERSIDE,California
25.05,SACRAMENTO,California
15.04,SAN BENITO,California
28.21,SAN BERNARDINO,California
20.68,SAN DIEGO,California
20.7,SAN FRANCISCO,California
26.48,SAN JOAQUIN,California
18.54,SAN LUIS OBISPO,California
19.33,SAN MATEO,California
20.04,SANTA BARBARA,California
19.33,SANTA CLARA,California
15.78,SANTA CRUZ,California
17.82,SHASTA,California
9.68,SIERRA,California
17.55,SISKIYOU,California
24.98,SOLANO,California
17.33,SONOMA,California
25.38,STANISLAUS,California
25.68,SUTTER,California
14.77,TEHAMA,California
15.53,TRINITY,California
24.13,TULARE,California
16.82,TUOLUMNE,California
23.75,VENTURA,California
19.34,YOLO,California
20.99,YUBA,California
23.61,ADAMS,Colorado
7.69,ALAMOSA,Colorado
20.92,ARAPAHOE,Colorado
13.73,ARCHULETA,Colorado
17.65,BACA,Colorado
20.59,BENT,Colorado
12.92,BOULDER,Colorado
21.71,BROOMFIELD,Colorado
13.95,CHAFFEE,Colorado
16.67,CHEYENNE,Colorado
14.29,CLEAR CREEK,Colorado
18.42,CONEJOS,Colorado
13.04,COSTILLA,Colorado
17.39,CROWLEY,Colorado
24.44,CUSTER,Colorado
16.4,DELTA,Colorado
18.58,DENVER,Colorado
33.33,DOLORES,Colorado
20.33,DOUGLAS,Colorado
5.39,EAGLE,Colorado
22.74,EL PASO,Colorado
16.78,ELBERT,Colorado
19.3,FREMONT,Colorado
14.66,GARFIELD,Colorado
0.0,GILPIN,Colorado
14.52,GRAND,Colorado
13.43,GUNNISON,Colorado
6.25,HINSDALE,Colorado
12.12,HUERFANO,Colorado
54.55,JACKSON,Colorado
23.73,JEFFERSON,Colorado
13.33,KIOWA,Colorado
7.55,KIT CARSON,Colorado
17.98,LA PLATA,Colorado
25.71,LAKE,Colorado
17.3,LARIMER,Colorado
16.67,LAS ANIMAS,Colorado
41.67,LINCOLN,Colorado
24.76,LOGAN,Colorado
13.75,MESA,Colorado
16.67,MINERAL,Colorado
21.74,MOFFAT,Colorado
17.68,MONTEZUMA,Colorado
12.59,MONTROSE,Colorado
19.57,MORGAN,Colorado
22.22,OTERO,Colorado
6.45,OURAY,Colorado
24.1,PARK,Colorado
4.35,PHILLIPS,Colorado
13.64,PITKIN,Colorado
10.26,PROWERS,Colorado
19.66,PUEBLO,Colorado
14.29,RIO BLANCO,Colorado
16.67,RIO GRANDE,Colorado
17.6,ROUTT,Colorado
10.81,SAGUACHE,Colorado
42.86,SAN JUAN,Colorado
9.52,SAN MIGUEL,Colorado
18.52,SEDGWICK,Colorado
13.08,SUMMIT,Colorado
22.73,TELLER,Colorado
12.5,WASHINGTON,Colorado
19.47,WELD,Colorado
16.87,YUMA,Colorado
19.72,FAIRFIELD,Connecticut
25.54,HARTFORD,Connecticut
20.6,LITCHFIELD,Connecticut
23.15,MIDDLESEX,Connecticut
23.59,NEW HAVEN,Connecticut
23.86,NEW LONDON,Connecticut
22.91,TOLLAND,Connecticut
18.52,WINDHAM,Connecticut
30.05,KENT,Delaware
21.66,NEW CASTLE,Delaware
21.19,SUSSEX,Delaware
19.85,THE DISTRICT,District of Columbia
27.87,ALACHUA,Florida
31.31,BAKER,Florida
21.96,BAY,Florida
31.78,BRADFORD,Florida
29.18,BREVARD,Florida
28.75,BROWARD,Florida
24.19,CALHOUN,Florida
26.41,CHARLOTTE,Florida
34.62,CITRUS,Florida
28.76,CLAY,Florida
21.85,COLLIER,Florida
29.36,COLUMBIA,Florida
24.84,DE SOTO,Florida
34.52,DIXIE,Florida
26.51,DUVAL,Florida
26.4,ESCAMBIA,Florida
23.92,FLAGLER,Florida
14.55,FRANKLIN,Florida
22.43,GADSDEN,Florida
28.89,GILCHRIST,Florida
40.48,GLADES,Florida
24.18,GULF,Florida
34.25,HAMILTON,Florida
34.0,HARDEE,Florida
29.77,HENDRY,Florida
32.45,HERNANDO,Florida
27.9,HIGHLANDS,Florida
30.71,HILLSBOROUGH,Florida
37.61,HOLMES,Florida
21.62,INDIAN RIVER,Florida
24.57,JACKSON,Florida
20.41,JEFFERSON,Florida
39.29,LAFAYETTE,Florida
32.69,LAKE,Florida
25.4,LEE,Florida
21.74,LEON,Florida
32.18,LEVY,Florida
42.31,LIBERTY,Florida
30.69,MADISON,Florida
24.23,MANATEE,Florida
32.63,MARION,Florida
19.25,MARTIN,Florida
29.52,MIAMI-DADE,Florida
12.75,MONROE,Florida
23.61,NASSAU,Florida
29.89,OKALOOSA,Florida
31.77,OKEECHOBEE,Florida
28.69,ORANGE,Florida
32.28,OSCEOLA,Florida
28.67,PALM BEACH,Florida
31.62,PASCO,Florida
30.37,PINELLAS,Florida
34.47,POLK,Florida
33.77,PUTNAM,Florida
27.69,SANTA ROSA,Florida
21.93,SARASOTA,Florida
29.19,SEMINOLE,Florida
24.35,ST. JOHNS,Florida
26.22,ST. LUCIE,Florida
31.74,SUMTER,Florida
36.13,SUWANNEE,Florida
22.9,TAYLOR,Florida
23.81,UNION,Florida
27.67,VOLUSIA,Florida
26.51,WAKULLA,Florida
26.17,WALTON,Florida
32.17,WASHINGTON,Florida
23.81,APPLING,Georgia
26.92,ATKINSON,Georgia
20.0,BACON,Georgia
25.0,BAKER,Georgia
26.21,BALDWIN,Georgia
39.58,BANKS,Georgia
30.62,BARROW,Georgia
31.52,BARTOW,Georgia
27.03,BEN HILL,Georgia
35.21,BERRIEN,Georgia
33.33,BIBB,Georgia
17.5,BLECKLEY,Georgia
25.42,BRANTLEY,Georgia
28.26,BROOKS,Georgia
14.93,BRYAN,Georgia
24.88,BULLOCH,Georgia
30.65,BURKE,Georgia
36.08,BUTTS,Georgia
11.76,CALHOUN,Georgia
18.18,CAMDEN,Georgia
30.77,CANDLER,Georgia
27.1,CARROLL,Georgia
24.77,CATOOSA,Georgia
22.73,CHARLTON,Georgia
20.52,CHATHAM,Georgia
0.0,CHATTAHOOCHEE,Georgia
24.55,CHATTOOGA,Georgia
22.93,CHEROKEE,Georgia
19.19,CLARKE,Georgia
20.0,CLAY,Georgia
23.56,CLAYTON,Georgia
30.0,CLINCH,Georgia
21.32,COBB,Georgia
23.94,COFFEE,Georgia
23.4,COLQUITT,Georgia
21.03,COLUMBIA,Georgia
21.67,COOK,Georgia
18.87,COWETA,Georgia
38.71,CRAWFORD,Georgia
27.78,CRISP,Georgia
30.39,DADE,Georgia
23.13,DAWSON,Georgia
23.1,DE KALB,Georgia
22.55,DECATUR,Georgia
33.33,DODGE,Georgia
41.86,DOOLY,Georgia
24.32,DOUGHERTY,Georgia
24.66,DOUGLAS,Georgia
18.37,EARLY,Georgia
0.0,ECHOLS,Georgia
17.44,EFFINGHAM,Georgia
34.65,ELBERT,Georgia
42.05,EMANUEL,Georgia
20.0,EVANS,Georgia
21.43,FANNIN,Georgia
18.57,FAYETTE,Georgia
29.91,FLOYD,Georgia
20.7,FORSYTH,Georgia
31.75,FRANKLIN,Georgia
20.14,FULTON,Georgia
24.62,GILMER,Georgia
12.5,GLASCOCK,Georgia
18.69,GLYNN,Georgia
27.94,GORDON,Georgia
18.0,GRADY,Georgia
19.01,GREENE,Georgia
24.02,GWINNETT,Georgia
31.32,HABERSHAM,Georgia
28.96,HALL,Georgia
30.3,HANCOCK,Georgia
27.97,HARALSON,Georgia
29.41,HARRIS,Georgia
22.63,HART,Georgia
21.88,HEARD,Georgia
27.19,HENRY,Georgia
41.88,HOUSTON,Georgia
21.21,IRWIN,Georgia
23.85,JACKSON,Georgia
11.76,JASPER,Georgia
26.23,JEFF DAVIS,Georgia
30.12,JEFFERSON,Georgia
25.0,JENKINS,Georgia
35.71,JOHNSON,Georgia
35.06,JONES,Georgia
15.87,LAMAR,Georgia
23.81,LANIER,Georgia
36.72,LAURENS,Georgia
24.14,LEE,Georgia
21.74,LIBERTY,Georgia
17.78,LINCOLN,Georgia
14.81,LONG,Georgia
32.96,LOWNDES,Georgia
26.56,LUMPKIN,Georgia
34.09,MACON,Georgia
19.01,MADISON,Georgia
16.67,MARION,Georgia
22.54,MC DUFFIE,Georgia
18.64,MC INTOSH,Georgia
26.32,MERIWETHER,Georgia
12.5,MILLER,Georgia
19.54,MITCHELL,Georgia
28.72,MONROE,Georgia
33.33,MONTGOMERY,Georgia
16.88,MORGAN,Georgia
22.16,MURRAY,Georgia
30.04,MUSCOGEE,Georgia
30.04,NEWTON,Georgia
20.59,OCONEE,Georgia
34.69,OGLETHORPE,Georgia
23.36,PAULDING,Georgia
34.0,PEACH,Georgia
23.96,PICKENS,Georgia
32.89,PIERCE,Georgia
24.68,PIKE,Georgia
29.71,POLK,Georgia
31.75,PULASKI,Georgia
24.62,PUTNAM,Georgia
100.0,QUITMAN,Georgia
20.0,RABUN,Georgia
12.5,RANDOLPH,Georgia
22.08,RICHMOND,Georgia
29.96,ROCKDALE,Georgia
20.0,SCHLEY,Georgia
18.75,SCREVEN,Georgia
20.0,SEMINOLE,Georgia
33.71,SPALDING,Georgia
38.82,STEPHENS,Georgia
11.11,STEWART,Georgia
21.62,SUMTER,Georgia
